sample,VisualFidelity,Contrastiveness,VFxContrastiveness,"Min(VF,Contrast)","Avg(VF,Contrast)",Support,Informative,Commonsense_Plausibility,mean_ece
1,0.3238333333333333,0.2993223884779861,0.25721560892511264,0.20722738119088166,0.2582388288652409,0.4117081575690554,0.5,0.09083606034517289,0.29379818355885345
2,0.295,0.2924221227072985,0.17091888611031783,0.1852469020772384,0.2960612460156042,0.3913820133108948,0.49,0.08167819261550903,0.29449445624096754
3,0.3295,0.3595101768109288,0.24545186074866232,0.2580620914821033,0.26602976453099686,0.4120453328261073,0.5399999999999999,0.1545684984326363,0.31834664711397526
4,0.355,0.24644956214380026,0.1689474840741157,0.18122581156832632,0.24223183021326564,0.3543696773452758,0.5,0.07836786508560183,0.2812271307856887
5,0.3586666666666667,0.23051686615315656,0.16423141174292077,0.16214113516422707,0.263631094365338,0.2915272721485781,0.49,0.08036683440208436,0.28427154239505376
6,0.2875,0.30854636477683156,0.2014000732890043,0.2059564526628253,0.24792004674777213,0.3977867558584848,0.4800000000000001,0.11518075197935104,0.28132213717486787
7,0.2921666666666667,0.2653178946346191,0.1829726943598344,0.161074851170285,0.22585226391529478,0.40196476657182756,0.5,0.10045887529850006,0.26111227507219353
8,0.3203333333333333,0.2912051133448448,0.19548890131345245,0.1926467615999109,0.2544972678864484,0.4053605174546709,0.5099999999999999,0.1010393598675728,0.28867857152154214
9,0.32916666666666666,0.2535168895905268,0.20244503749344467,0.18706627578243806,0.22672575956174665,0.3986104290253115,0.51,0.07571219712495804,0.26980310527298007
10,0.3463333333333333,0.27387389661739214,0.2031396693729885,0.2084468145829956,0.2604535589162493,0.3510109648423622,0.5399999999999999,0.14121560841798783,0.29355359628899164
11,0.37099999999999994,0.26012911255128285,0.18304432861797415,0.2168913584863688,0.2720021362142547,0.35760528910990613,0.52,0.09090911686420439,0.3010437495885125
12,0.335,0.28908464465804984,0.2146495967004377,0.22722824953760046,0.2693498257985458,0.3832050672751464,0.5,0.08206222176551821,0.2978114901521986
13,0.32549999999999996,0.22642413471106815,0.18935348005671948,0.1789478790263404,0.2495288389863698,0.3519848100268672,0.5,0.08646958589553837,0.2671509912324793
14,0.3678333333333333,0.27123044777069916,0.2157129444300806,0.24898047706799392,0.25297242188935676,0.38666413671847294,0.52,0.09340804129838945,0.29734540099779644
15,0.34049999999999997,0.30020166917983476,0.24048380716518394,0.19956443398144444,0.2962797771778969,0.38571295854213533,0.49,0.09612369984388353,0.31232714878591056
16,0.31550000000000006,0.2885893363114361,0.18357634724099017,0.18200337733846905,0.2222482176644233,0.3675280923486753,0.4800000000000001,0.1052623462677002,0.2754458513252865
17,0.32683333333333336,0.2996151773546572,0.18935577062139985,0.23431563732186686,0.21636723216321233,0.40442813702432545,0.52,0.07161913573741913,0.280938580950401
18,0.30433333333333334,0.27992011262000316,0.1799455610285674,0.17667605304083317,0.25150638608985404,0.3866128724841383,0.51,0.14145542174577716,0.2785866106810635
19,0.3103333333333333,0.2661268164590279,0.18864105739837203,0.19981493536107323,0.22783405233344406,0.3520416730433388,0.52,0.11223603963851929,0.2680980673752684
20,0.3668333333333333,0.23413292357140403,0.2217569464379396,0.2075276965394804,0.24620778934242046,0.4297262501092399,0.48,0.06730308264493944,0.28239134874905264
21,0.29433333333333334,0.2801131233343228,0.16634632079757097,0.17405161067283956,0.26865810491646935,0.3896367702505097,0.5,0.05469411671161653,0.28103485386137517
22,0.278,0.3503032097536641,0.25177000067782507,0.2563027720320148,0.28386083748569935,0.4303025786236091,0.5299999999999999,0.06329811960458753,0.3040546824131211
23,0.3353333333333333,0.24303023646790411,0.18073237193417224,0.21280088135258804,0.21369185955918046,0.405342696657772,0.5,0.12529778718948364,0.26401847645347265
24,0.32483333333333336,0.28377499866497613,0.2128661244572128,0.21501672910552544,0.29026760464792617,0.4160918845572996,0.49,0.11580973461270334,0.29962531221541194
25,0.3493333333333334,0.30232995817077857,0.19975287845410017,0.22247050081123626,0.2679025572067876,0.39099595584514674,0.53,0.07997072696685793,0.3065219495702998
26,0.358,0.2681682918716305,0.18518221444980082,0.20889729991359762,0.2700071622106435,0.32696667809646895,0.51,0.09407756641507149,0.298725151360758
27,0.3336666666666666,0.30666445728674036,0.21291770937832516,0.22237341954151021,0.24587599354167367,0.38872017512436996,0.5,0.09591405540704726,0.2954023724983602
28,0.3005,0.278683277510173,0.17341062044573172,0.22338000112447168,0.24430124410291587,0.38845653256100093,0.48,0.09303406417369843,0.2744948405376963
29,0.293,0.31640702924027164,0.2015293889467732,0.21942293111268782,0.26087123646933397,0.39040840695538265,0.52,0.09443218052387238,0.29009275523653516
30,0.26966666666666667,0.23661105466232102,0.1328964341938807,0.13022208344717814,0.22646747690189364,0.371777366122642,0.49,0.07500984102487566,0.24424839941029378
31,0.3393333333333333,0.3162623095340041,0.21235475727172287,0.23760330062938073,0.24568272959422166,0.3808511720394654,0.5599999999999999,0.08587105393409729,0.300426124153853
32,0.37,0.24256453565159986,0.19889917723547826,0.19920582797916317,0.24972190597597263,0.37771459802589563,0.52,0.11576480582356453,0.2874288138758575
33,0.3005,0.24013487313863716,0.16875737306365704,0.19008922110211426,0.23031552220451387,0.40920112101436645,0.48,0.14500272184610366,0.2569834651143837
34,0.3476666666666667,0.3088740759893931,0.21529682173015685,0.24740251667662505,0.28850727552740224,0.38996170347671694,0.49,0.10528572916984558,0.315016006061154
35,0.3561666666666667,0.3005654093775367,0.20067454357316816,0.20587207124811877,0.2954875242438218,0.3737785744669126,0.49,0.07280148208141327,0.3174065334293417
36,0.3158333333333333,0.28517286066073844,0.1845635296575659,0.19955990997904713,0.2752266861167445,0.36412741487205497,0.5,0.13340590402483937,0.29207762670360543
37,0.3145,0.27720260448360384,0.1661290314644819,0.1888838784213416,0.29038563718295124,0.29922586887466424,0.49,0.06664009064435956,0.2940294138888517
38,0.3053333333333333,0.22714245890409196,0.18500217517816608,0.18066603430446648,0.22385298961269753,0.35105581384400464,0.5,0.10950700193643569,0.2521095939500409
39,0.32899999999999996,0.22077450744407934,0.17807308870571187,0.18223248851976304,0.23519745736239286,0.32042336917124886,0.5,0.1334240821003914,0.2616573216021574
40,0.33766666666666667,0.26689819733359005,0.20024445245154085,0.21603311180268725,0.22745851339441306,0.28972701168925313,0.51,0.08386467546224594,0.2773411257982233
41,0.3263333333333333,0.25550047204929965,0.19556317148682167,0.18240361491856444,0.22607330112561386,0.3992423324565334,0.5,0.07964201718568802,0.2693023688360823
42,0.3353333333333333,0.30414805543065676,0.2564572831150974,0.252723731213018,0.2674459244453014,0.3922824812269482,0.52,0.15309242129325867,0.30230910440309716
43,0.31266666666666665,0.24045724182831654,0.14975818486457704,0.1582526212577069,0.23787446692608927,0.38581081360448477,0.52,0.13825416654348374,0.2636661251403575
