question,correct_answer,predicted_answer,is_correct,groundtruth_rationale,generated_rationale,gen_rationale_distinct_pieces,image_path,sentence_fidelity_scores,sentence_fidelity_reasons
"What is the man by the bags awaiting? Choices: skateboarder, train, delivery, cab",cab,Delivery,0,"['A train would not be on the street, he would not have luggage waiting for a delivery, and the skateboarder is there and not paying attention to him so a cab is the only possible answer.', 'He has bags as if he is going someone, and he is on a road waiting for vehicle that can only be moved on the road and is big enough to hold the bags.', 'He looks to be waiting for a paid ride to pick him up.']","The man by the bags is waiting for a delivery, as indicated by the presence of the suitcases and the fact that he is standing on the side of the road. The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.","['The presence of the suitcases indicates he is waiting for something.', 'He is standing on the side of the road.', 'The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.']",../results/img/0.jpg,"[0, 1, 1]","['The sentence suggests an interpretation of the image, implying that the presence of the suitcases indicates the person is waiting for something. However, the image itself does not directly confirm this interpretation; it only shows a person with suitcases.', 'The sentence is talking about something that is directly present in the image. The man is indeed standing on the side of the road.', 'The sentence is talking about something that is directly present in the image.']"
"Where does this man eat pizza? Choices: office, cafe, motel, outside",office,Office,1,"['The man is eating pizza at a work desk in an office setting.', 'The man is near a computer keyboard.', 'The man is sitting at an office desk at his job and eating his pizza.']","The man is eating pizza in an office setting, as evidenced by the presence of a computer desk, keyboard, and other office-related items in the image. This suggests that the man is enjoying his pizza while working or taking a break in the office environment. The other options, such as a cafe, motel, or outside, are less likely to be the location where the man is eating his pizza.","['The presence of a computer desk, keyboard, and other office-related items in the image.', 'This suggests that the man is enjoying his pizza while working or taking a break in the office environment.', 'The other options, such as a cafe, motel, or outside, are less likely to be the location where the man is eating his pizza.']",../results/img/1.jpg,"[1, 1, 0]","['The sentence is talking about something that is directly present in the image. The image shows a computer desk with a keyboard and other office-related items.', 'The sentence is talking about something that is directly present in the image. (The man is visibly holding a plate of pizza in an office environment.)', 'The sentence mentions events or elements that may make common sense but are not directly depicted in the image. The image depicts a man eating pizza in what looks like an office setting, but the sentence discusses other potential locations that are not directly present in the image.']"
"How were the drivers of the cars able to park here? Choices: firemen, airport workers, police, postal workers",airport workers,Airport workers,1,"['These drivers work at the airport.', 'Cars are parked on a tarmac near an airplane. only worker vehicles are allowed on airport tarmacs.', 'The people that work here use the vehicles on the tarmac.']","The drivers of the cars were able to park here because they are airport workers. Airport workers are responsible for various tasks such as loading and unloading luggage, assisting passengers, and maintaining the airport facilities. They have access to designated parking areas within the airport premises, which allows them to park their vehicles close to their workstations. In the image, there are several cars and trucks parked near the airplane, indicating that these vehicles belong to","['Airport workers are responsible for various tasks such as loading and unloading luggage, assisting passengers, and maintaining the airport facilities.', 'They have access to designated parking areas within the airport premises, which allows them to park their vehicles close to their workstations.', 'In the image, there are several cars and trucks parked near the airplane.']",../results/img/3.jpg,"[0, 0, 1]","['The sentence mentions tasks typically handled by airport workers, which makes common sense. However, these specific tasks are not directly depicted in the image, which shows an airplane at an airport.', 'The sentence mentions access to designated parking areas within the airport premises, which allows people to park their vehicles close to their workstations. While the image shows an airport with some vehicles close to an airplane, it does not directly depict designated parking areas or the context of proximity to workstations specifically.', 'The sentence is talking about something that is directly present in the image.']"
"How many people can ride this motorcycle at a time? Choices: four, two, three, one",two,Two,1,"['Two people can be on the bike.', ""There is a passenger seat and a driver's seat."", 'There are two seats and seat backs on the motorcycle that apply that two could ride simultaneously.']","The reasoning behind the answer is that the motorcycle is designed for two people to ride at a time. In the image, there are two black leather seats on the motorcycle, which indicates that it is intended for two passengers. Additionally, the motorcycle has a windshield and side mirrors, which are common features on motorcycles for the comfort and safety of the riders. Therefore, the correct answer is two people can ride this motorcycle at a time.","['The motorcycle has two black leather seats.', 'The motorcycle has a windshield and side mirrors, common features for the comfort and safety of the riders.']",../results/img/4.jpg,"[1, 1]","['The sentence is talking about something that is directly present in the image. The image shows a motorcycle with two black leather seats.', 'The sentence is talking about something that is directly present in the image. The motorcycle in the image has both a windshield and side mirrors.']"
"What mood do the cows seem to be in? Choices: sad, happy, curious, scared",happy,Happy,1,"['The cows are happy.', 'These cows appear happy with their heads up.', 'The cows standing in the grass look happy and satisfied as they drink water and eat grass.']","The cows seem to be in a happy mood because they are grazing in a lush green field, which indicates a healthy and abundant environment for them to thrive. Additionally, there is a person nearby, possibly a farmer or caretaker, who could be providing them with food or ensuring their well-being. The presence of the person suggests that the cows are in a safe and nurturing environment, contributing to their overall happiness.","['The cows are grazing in a lush green field, which indicates a healthy and abundant environment for them to thrive.', 'There is a person nearby, possibly a farmer or caretaker, who could be providing them with food or ensuring their well-being.', 'The presence of the person suggests that the cows are in a safe and nurturing environment, contributing to their overall happiness.']",../results/img/6.jpg,"[1, 1, 0]","['The sentence is talking about something that is directly present in the image. There are cows grazing in a lush green field, indicating a healthy and abundant environment.', 'The sentence is talking about something that is directly present in the image. There is a person nearby, likely a farmer or caretaker, who is in the vicinity of the cows and could be involved in ensuring their well-being.', 'The sentence makes an inference about the safety and nurturing environment based on the presence of the person and the happiness of the cows, which is not directly portrayed in the image. While the person and cows are visible, the statement about safety, nurturing, and happiness is an interpretation and not directly shown.']"
"What type of rain is this called? Choices: average, drizzle, sprinkle, downpour",downpour,Downpour,1,"['The way the woman uses the umbrella.', 'The rain is really heavy and uncomfortable to be in.', 'You can see how hard it is raining and how much it is.']","The type of rain depicted in the image is a downpour. A downpour is characterized by heavy rainfall, often accompanied by thunder and lightning. In the image, the people are walking in the rain, and there are multiple umbrellas being used to shield them from the rain. The presence of multiple umbrellas and the intensity of the rain suggest that it is a downpour rather than a drizzle or a sprinkle.","['A downpour is characterized by heavy rainfall, often accompanied by thunder and lightning.', 'In the image, the people are walking in the rain, and there are multiple umbrellas being used to shield them from the rain.', 'The presence of multiple umbrellas and the intensity of the rain suggest that it is a downpour rather than a drizzle or a sprinkle.']",../results/img/7.jpg,"[0, 1, 1]","['The sentence describes characteristics of a downpour which includes heavy rainfall, thunder, and lightning. While the image directly shows heavy rainfall, there is no direct evidence of thunder or lightning in the image.', 'The sentence is talking about something that is directly present in the image. There are people walking in the rain, and multiple umbrellas can be seen being used to shield them from the rain.', 'The sentence is talking about something that is directly present in the image. The image shows multiple umbrellas and heavy rain, suggesting a downpour rather than a drizzle or sprinkle.']"
"What is the man putting on the bus? Choices: camera, ribbon, rag, bow",bow,Ribbon,0,"['He affixed a tidy, unripped, tied tow to the bus.', 'They are putting a big red bow on it.', 'You can see the red looped decoration in his hands.']","The man is putting a red ribbon on the bus. This suggests that the bus might be participating in a special event or celebration, such as a parade or a community gathering. The ribbon serves as a decorative element to make the bus more visually appealing and to showcase its involvement in the event.","['This suggests that the bus might be participating in a special event or celebration, such as a parade or a community gathering.', 'The ribbon serves as a decorative element to make the bus more visually appealing and to showcase its involvement in the event.']",../results/img/8.jpg,"[0, 1]","['The sentence suggests that the bus might be participating in a special event or celebration, which makes sense as there is a large red bow on the bus. However, no event or celebration is directly depicted in the image.', 'The sentence is talking about something that is directly present in the image. The ribbon is visible on the bus, serving as a decorative element.']"
"If the cameraman were driving what do they have to do from this position? Choices: turn left, drive straight, reverse course, turn right",turn right,turn right,1,"['The would have to turn right because the lane has right turn arrows painted on it.', 'The arrow on the street indicates that this lane can only go in one direction at the intersection.', 'The sign on the road says to turn right.']","If the cameraman were driving, they would have to turn right to follow the flow of traffic. In the image, there are multiple cars, a bus, and a person riding a bicycle on the street. The person on the bicycle is riding in the same direction as the cars, while the bus is driving in the opposite direction. To maintain the flow of traffic and ensure safety, the cameraman would need to turn right and join the traffic in the same","['In the image, there are multiple cars, a bus, and a person riding a bicycle on the street.', 'The person on the bicycle is riding in the same direction as the cars, while the bus is driving in the opposite direction.', 'To maintain the flow of traffic and ensure safety, the cameraman would need to turn right and join the traffic in the same.']",../results/img/9.jpg,"[1, 1, 0]","['The sentence is talking about something that is directly present in the image.', 'The sentence is talking about something that is directly present in the image. The person on the bicycle is indeed riding in the same direction as the cars, while the bus is driving in the opposite direction.', ""The sentence mentions what the cameraman would need to do to maintain the flow of traffic, but this action is not directly shown in the image. There is traffic present in the image, however, there's no direct indication of a cameraman or the action of turning right to join the traffic.""]"
"How did these frisbee throwers get to this location? Choices: police car, bike, jogged, motorcycle",bike,Bike,1,"['The only modes of transportation which near these frisbee throwers are the bikes on the ground.', 'There are non-motorized two-wheeled vehicles parked near the frisbee throwers.', 'There are two wheeled manual powered vehicles next to them.']","The frisbee throwers most likely arrived at this location on their bicycles. In the image, there are multiple bicycles scattered around the area where the frisbee game is taking place. The presence of bicycles suggests that the players used them as their mode of transportation to reach the park or field where they are playing frisbee. Bicycles are a convenient and eco-friendly way to travel short distances, making them an ideal choice","['In the image, there are multiple bicycles scattered around the area where the frisbee game is taking place.', 'The presence of bicycles suggests that the players used them as their mode of transportation to reach the park or field where they are playing frisbee.', 'Bicycles are a convenient and eco-friendly way to travel short distances, making them an ideal choice.']",../results/img/10.jpg,"[1, 0, 0]","['The sentence is talking about something that is directly present in the image.', 'The sentence mentions the possibility that the players used bicycles as their mode of transportation to the park or field to play frisbee, which aligns with the image contextually but is not directly depicted. The bicycles are present, and people are playing frisbee, but the transportation aspect is inferred, not directly shown.', ""The sentence mentions the benefits of bicycles, which are not directly depicted in the image. While bicycles are present in the image, the sentence's focus is on their general convenience and eco-friendliness, which is not directly shown.""]"
"What animal will most likely eat this meal? Choices: elephant, human, bird, cow",human,Human,1,"['Only humans will make this and eat it.', 'The animal is a human.', 'The sandwich is sold for people to eat.']","The most likely animal to eat this meal is a human. This is because the meal consists of a sandwich and a salad, which are food items commonly consumed by humans. Elephants, birds, and cows do not typically consume sandwiches and salads as part of their diet.","['The meal consists of a sandwich and a salad, which are food items commonly consumed by humans.', 'Elephants, birds, and cows do not typically consume sandwiches and salads as part of their diet.']",../results/img/11.jpg,"[1, 0]","['The sentence is talking about something that is directly present in the image.', 'The sentence mentions the dietary habits of elephants, birds, and cows in relation to sandwiches and salads. While the image shows sandwiches and salads, it does not depict elephants, birds, or cows, thus their dietary habits cannot be directly confirmed or refuted in the image.']"
